(128)x:5.719969, y:11.808321, z:-0.675000
(129)x:5.708767, y:11.782561, z:-0.912500
(130)x:5.702950, y:11.769312, z:-0.907500
(131)x:5.697698, y:11.756636, z:-0.847500
(132)x:5.691910, y:11.742940, z:-0.855000
(133)x:5.686812, y:11.730573, z:-0.842500
(134)x:5.680969, y:11.716496, z:-0.847500
(135)x:5.675960, y:11.704147, z:-0.795000
(136)x:5.670144, y:11.689953, z:-0.790000
(137)x:5.665317, y:11.677518, z:-0.777500
(138)x:5.659571, y:11.663052, z:-0.775000
(139)x:5.654893, y:11.650523, z:-0.752500
(140)x:5.639246, y:11.608170, z:-0.750000
(141)x:5.634876, y:11.595475, z:-0.757500
(142)x:5.629663, y:11.579875, z:-0.715000
(143)x:5.625252, y:11.567105, z:-0.715000
(144)x:5.620033, y:11.551391, z:-0.677500
(145)x:5.614829, y:11.535055, z:-0.680000
(146)x:5.610650, y:11.522625, z:-0.687500
(147)x:5.605431, y:11.506074, z:-0.667500
(148)x:5.596168, y:11.477291, z:-0.642500
(149)x:5.581730, y:11.432248, z:-0.560000
(150)x:5.577605, y:11.420039, z:-0.557500
(151)x:5.572424, y:11.403737, z:-0.502500
(152)x:5.568120, y:11.391609, z:-0.492500
(153)x:5.562813, y:11.375651, z:-0.450000
(154)x:5.558768, y:11.363079, z:-0.452500
(155)x:5.543993, y:11.318830, z:-0.215000
(156)x:5.538710, y:11.302367, z:-0.177500
(157)x:5.534848, y:11.290110, z:-0.172500
(158)x:5.529590, y:11.273632, z:-0.165000
(159)x:5.524260, y:11.256736, z:-0.257500
(160)x:5.520452, y:11.244887, z:-0.282500
(161)x:5.515150, y:11.228208, z:-0.332500
(162)x:5.511324, y:11.216172, z:-0.312500
(163)x:5.506040, y:11.199530, z:-0.297500
(164)x:5.500648, y:11.182621, z:0.327500
(165)x:5.496857, y:11.170892, z:0.340000
(166)x:5.491460, y:11.154308, z:0.435000
(167)x:5.487231, y:11.142825, z:0.390000
(168)x:5.481827, y:11.126485, z:-0.357500
(169)x:5.475978, y:11.110647, z:-0.412500
(170)x:5.472065, y:11.098752, z:-0.435000
(171)x:5.466399, y:11.082922, z:-0.410000
(172)x:5.462022, y:11.071303, z:0.492500
(173)x:5.456347, y:11.055675, z:0.477500
(174)x:5.451921, y:11.043863, z:0.520000
(175)x:5.446558, y:11.027825, z:0.550000
(176)x:5.441871, y:11.016100, z:0.547500
(177)x:5.435956, y:11.001443, z:0.600000
(178)x:5.429775, y:10.986340, z:0.605000
(179)x:5.425100, y:10.975484, z:0.642500
(180)x:5.418826, y:10.960797, z:0.642500
(181)x:5.414000, y:10.950169, z:0.642500
(182)x:5.408197, y:10.936645, z:0.732500
(183)x:5.402675, y:10.924275, z:0.755000
(184)x:5.396663, y:10.910736, z:0.745000
(185)x:5.391209, y:10.899026, z:0.762500
(186)x:5.384975, y:10.885892, z:0.840000
(187)x:5.379341, y:10.874228, z:0.850000
(188)x:5.372933, y:10.861429, z:0.870000
(189)x:5.367397, y:10.850766, z:0.882500
(190)x:5.360793, y:10.838880, z:0.887500
(191)x:5.355007, y:10.827348, z:0.845000
(192)x:5.348656, y:10.815328, z:0.740000
(193)x:5.342948, y:10.803961, z:0.752500
(194)x:5.330774, y:10.780012, z:0.732500
(195)x:5.324649, y:10.767789, z:0.590000
(196)x:5.318836, y:10.756356, z:0.690000
(197)x:5.312719, y:10.744538, z:0.652500
(198)x:5.306792, y:10.732675, z:0.607500
(199)x:5.300851, y:10.721011, z:0.475000
(200)x:5.294795, y:10.709034, z:0.490000
(201)x:5.288971, y:10.697540, z:0.455000
(202)x:5.282900, y:10.685265, z:0.670000
(203)x:5.277263, y:10.673804, z:0.677500
(204)x:5.271086, y:10.661319, z:0.652500
(205)x:5.265527, y:10.650120, z:0.652500
(206)x:5.259283, y:10.637405, z:0.557500
(207)x:5.252994, y:10.624695, z:0.540000
(208)x:5.247458, y:10.613577, z:0.575000
(209)x:5.241021, y:10.600919, z:0.550000
(210)x:5.235513, y:10.590158, z:0.557500
(211)x:5.228908, y:10.577420, z:0.570000
(212)x:5.223467, y:10.567005, z:0.547500
